modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8461646727656579,0.5383510574494352,0.8477069568596969,0.6583788774382506,0.9233803203181739
LinearSVC,0.8475721323011962,0.5415486304068726,0.8412585827179686,0.6587723763802501,0.9229533187489526
KNN,0.8019704433497538,0.462414536377951,0.8090555771472989,0.5882559781545812,0.8807651998619669
DecisionTree,0.8285714285714285,0.5066143741904605,0.8106425702811245,0.6233239038471851,0.8215023383601882
